Reference, Quantity, Value, Footprint, Datasheet, LCSC, MPN, OC_FARNELL, OC_NEWARK, PACKAGE, SUPPLIER
C1 C2 C5 C6 ,4,"10uF/10V","tom-passives:C_0805_2012Metric","","DNP","","","","",""
C3 C4 ,2,"10uF","tom-passives:C_0805_2012Metric",""
C7 ,1,"100nF/10V","tom-passives:C_0805_2012Metric","","DNP","","","","",""
D1 D2 ,2,"LED","tom-opto:LED_0805_2012Metric","~"
J2 ,1,"Conn_01x04","tom-connectors:PinHeader_1x04_P2.54mm_Vertical","~"
J3 ,1,"Conn_01x08","tom-connectors:PinHeader_1x08_P2.54mm_Vertical","~"
J4 ,1,"Conn_01x06","tom-connectors:PinHeader_1x06_P2.54mm_Vertical","~"
J1 J5 J7 ,3,"Conn_01x02","tom-connectors:PinHeader_1x02_P2.54mm_Vertical","~"
J6 ,1,"Conn_01x03","tom-connectors:PinHeader_1x03_P2.54mm_Vertical","~"
R1 R2 R3 R6 ,4,"10K","tom-passives:C_0805_2012Metric",""
R4 R5 ,2,"1K","tom-passives:C_0805_2012Metric",""
U1 ,1,"ESP-12","tom-modules:ESP-12E_SMD","http://l0l.org.uk/2014/12/esp8266-modules-hardware-guide-gotta-catch-em-all/"
U2 ,1,"M74VHC1GT50DTT1G","tom-semiconductors:SOT95P275X110-5N","","","M74VHC1GT50DTT1G","1654338","61K1045","SOT-23-5","ON SEMICONDUCTOR"
U3 ,1,"AP2112K-3.3","tom-semiconductors:SOT-23-5","https://www.diodes.com/assets/Datasheets/AP2112.pdf"